nazwa	szerokosc	dlugosc	wojewodztwo	powiat
Głogówek	50.3534	17.8645	opolskie	prudnicki
Głowno	51.9678	19.7139	łódzkie	zgierski
Głubczyce	50.2001	17.8303	opolskie	głubczycki
Głuchołazy	50.3151	17.3835	opolskie	nyski
Głuszyca	50.6875	16.3717	dolnośląskie	wałbrzyski
Gniew	53.8357	18.8223	pomorskie	tczewski
Gniewkowo	52.8928	18.4086	kujawsko-pomorskie	inowrocławski
Gniezno	52.5333	17.6014	wielkopolskie	gnieźnieński
Gogolin	50.4915	18.0222	opolskie	krapkowicki
Golczewo	53.8246	14.9785	zachodniopomorskie	kamieński
Goleniów	53.5632	14.8296	zachodniopomorskie	goleniowski
Golina	52.2450	18.0941	wielkopolskie	koniński
Golub-Dobrzyń	53.1092	19.0524	kujawsko-pomorskie	golubsko-dobrzyński
Gołańcz	52.9434	17.3012	wielkopolskie	wągrowiecki
Gołdap	54.3071	22.3022	warmińsko-mazurskie	gołdapski
Goniądz	53.4886	22.7325	podlaskie	moniecki
Goraj	50.7213	22.6671	lubelskie	biłgorajski
Gorlice	49.6549	21.1600	małopolskie	gorlicki
Gorzów Śląski	51.0282	18.4223	opolskie	oleski
Gorzów Wielkopolski	52.7310	15.2383	lubuskie	Gorzów Wielkopolski
Gostynin	52.4291	19.4619	mazowieckie	gostyniński
Gostyń	51.8821	17.0123	wielkopolskie	gostyński
Gościno	54.0514	15.6526	zachodniopomorskie	kołobrzeski
Gozdnica	51.4379	15.0967	lubuskie	żagański
Góra	51.6680	16.5390	dolnośląskie	górowski
Góra Kalwaria	51.9852	21.2163	mazowieckie	piaseczyński
Górowo Iławeckie	54.2878	20.4909	warmińsko-mazurskie	bartoszycki
Górzno	53.1977	19.6435	kujawsko-pomorskie	brodnicki
Grabów nad Prosną	51.5082	18.1148	wielkopolskie	ostrzeszowski
Grajewo	53.6470	22.4549	podlaskie	grajewski
Grodków	50.6985	17.3852	opolskie	brzeski
Grodzisk Mazowiecki	52.1042	20.6267	mazowieckie	grodziski
Grodzisk Wielkopolski	52.2246	16.3642	wielkopolskie	grodziski
Grójec	51.8656	20.8675	mazowieckie	grójecki
Grudziądz	53.4880	18.7530	kujawsko-pomorskie	Grudziądz
Grybów	49.6248	20.9475	małopolskie	nowosądecki
Gryfice	53.9161	15.1987	zachodniopomorskie	gryficki
Gryfino	53.2567	14.4894	zachodniopomorskie	gryfiński
Gryfów Śląski	51.0281	15.4147	dolnośląskie	lwówecki
Gubin	51.9576	14.7204	lubuskie	krośnieński
Hajnówka	52.7433	23.5836	podlaskie	hajnowski
Halinów	52.2265	21.3533	mazowieckie	miński
Hel	54.6075	18.8031	pomorskie	pucki
Hrubieszów	50.8051	23.8898	lubelskie	hrubieszowski
Iława	53.5899	19.5668	warmińsko-mazurskie	iławski
Iłowa	51.5035	15.2009	lubuskie	żagański
Iłża	51.1623	21.2373	mazowieckie	radomski
Imielin	50.1462	19.1857	śląskie	bieruńsko-lędziński
Inowrocław	52.7965	18.2616	kujawsko-pomorskie	inowrocławski
Ińsko	53.4357	15.5483	zachodniopomorskie	stargardzki
Iwaniska	50.7311	21.2781	świętokrzyskie	opatowski
Iwonicz-Zdrój	49.5660	21.7928	podkarpackie	krośnieński
Izbica	50.8927	23.1588	lubelskie	krasnostawski
Izbica Kujawska	52.4206	18.7631	kujawsko-pomorskie	włocławski
Jabłonowo Pomorskie	53.3886	19.1536	kujawsko-pomorskie	brodnicki
Janikowo	52.7542	18.1123	kujawsko-pomorskie	inowrocławski
Janowiec Wielkopolski	52.7569	17.4874	kujawsko-pomorskie	żniński
Janów Lubelski	50.7066	22.4110	lubelskie	janowski
Jaraczewo	51.9688	17.2973	wielkopolskie	jarociński
Jarocin	51.9724	17.5016	wielkopolskie	jarociński
Jarosław	50.0188	22.6835	podkarpackie	jarosławski
Jasień	51.7511	15.0122	lubuskie	żarski
Jasło	49.7458	21.4735	podkarpackie	jasielski
Jastarnia	54.7029	18.6715	pomorskie	pucki
Jastrowie	53.4211	16.8155	wielkopolskie	złotowski
Jastrzębie-Zdrój	49.9519	18.6023	śląskie	Jastrzębie-Zdrój
Jawor	51.0503	16.1936	dolnośląskie	jaworski
Jaworzno	50.2037	19.2702	śląskie	Jaworzno
Jaworzyna Śląska	50.9144	16.4305	dolnośląskie	świdnicki
Jedlicze	49.7124	21.6415	podkarpackie	krośnieński
Jedlina-Zdrój	50.7249	16.3471	dolnośląskie	wałbrzyski
Jedlnia-Letnisko	51.4312	21.3314	mazowieckie	radomski
Jedwabne	53.2872	22.3025	podlaskie	łomżyński
Jelcz-Laskowice	51.0399	17.3499	dolnośląskie	oławski
Jelenia Góra	50.9031	15.7346	dolnośląskie	Jelenia Góra
Jeziorany	53.9765	20.7462	warmińsko-mazurskie	olsztyński
Jędrzejów	50.6403	20.3036	świętokrzyskie	jędrzejowski
Jordanów	49.6494	19.8303	małopolskie	suski
Józefów	50.4811	23.0527	lubelskie	biłgorajski
Józefów	52.1364	21.2353	mazowieckie	otwocki
Józefów nad Wisłą	51.0409	21.8296	lubelskie	opolski
Jutrosin	51.6513	17.1692	wielkopolskie	rawicki
Kaczory	53.1019	16.8848	wielkopolskie	pilski
Kalety	50.5643	18.8842	śląskie	tarnogórski
Kalisz	51.7611	18.0869	wielkopolskie	Kalisz
Kalisz Pomorski	53.2984	15.9057	zachodniopomorskie	drawski
Kalwaria Zebrzydowska	49.8665	19.6759	małopolskie	wadowicki
Kałuszyn	52.2087	21.8124	mazowieckie	miński
Kamieniec Ząbkowicki	50.5250	16.8781	dolnośląskie	ząbkowicki
Kamienna Góra	50.7834	16.0327	dolnośląskie	kamiennogórski
Kamień Krajeński	53.5328	17.5206	kujawsko-pomorskie	sępoleński
Kamień Pomorski	53.9686	14.7727	zachodniopomorskie	kamieński
Kamieńsk	51.2044	19.4969	łódzkie	radomszczański
Kamionka	51.4708	22.4624	lubelskie	lubartowski
Kańczuga	49.9833	22.4117	podkarpackie	przeworski
Karczew	52.0758	21.2502	mazowieckie	otwocki
Kargowa	52.0718	15.8644	lubuskie	zielonogórski
Karlino	54.0381	15.8792	zachodniopomorskie	białogardzki
Karpacz	50.7747	15.7546	dolnośląskie	karkonoski
Kartuzy	54.3336	18.2028	pomorskie	kartuski
Katowice	50.2644	19.0236	śląskie	Katowice
Kazimierz Dolny	51.3221	21.9474	lubelskie	puławski
Kazimierza Wielka	50.2676	20.4868	świętokrzyskie	kazimierski
Kąty Wrocławskie	51.0299	16.7711	dolnośląskie	wrocławski
Kcynia	52.9917	17.4872	kujawsko-pomorskie	nakielski
Kędzierzyn-Koźle	50.3442	18.2073	opolskie	kędzierzyńsko-kozielski
Kępice	54.2422	16.8878	pomorskie	słupski
Kępno	51.2791	17.9835	wielkopolskie	kępiński
Kętrzyn	54.0772	21.3748	warmińsko-mazurskie	kętrzyński
Kęty	49.8837	19.2224	małopolskie	oświęcimski
Kielce	50.8717	20.6315	świętokrzyskie	Kielce
Kietrz	50.0796	18.0022	opolskie	głubczycki
Kisielice	53.6091	19.2590	warmińsko-mazurskie	iławski
Kleczew	52.3709	18.1730	wielkopolskie	koniński
Kleszczele	52.5750	23.3258	podlaskie	hajnowski
Klimontów	50.6565	21.4504	świętokrzyskie	sandomierski
Kluczbork	50.9731	18.2146	opolskie	kluczborski
Kłecko	52.6318	17.4296	wielkopolskie	gnieźnieński
Kłobuck	50.9052	18.9378	śląskie	kłobucki
Kłodawa	52.2535	18.9132	wielkopolskie	kolski
Kłodzko	50.4374	16.6528	dolnośląskie	kłodzki
Knurów	50.2231	18.6669	śląskie	gliwicki
Knyszyn	53.3127	22.9195	podlaskie	moniecki
Kobylin	51.7166	17.2267	wielkopolskie	krotoszyński
Kobyłka	52.3393	21.1973	mazowieckie	wołomiński
Kock	51.6397	22.4464	lubelskie	lubartowski
Kolbuszowa	50.2432	21.7741	podkarpackie	kolbuszowski
Kolno	53.4092	21.9353	podlaskie	kolneński
Kolonowskie	50.6532	18.3842	opolskie	strzelecki
Koluszki	51.7450	19.8173	łódzkie	łódzki wschodni
Kołaczyce	49.8071	21.4336	podkarpackie	jasielski
Koło	52.2044	18.6326	wielkopolskie	kolski
Kołobrzeg	54.1798	15.5723	zachodniopomorskie	kołobrzeski
Koniecpol	50.7727	19.6768	śląskie	częstochowski
Konin	52.2281	18.2541	wielkopolskie	Konin
Konstancin-Jeziorna	52.0928	21.1182	mazowieckie	piaseczyński
Konstantynów Łódzki	51.7479	19.3255	łódzkie	pabianicki
Końskie	51.1916	20.4071	świętokrzyskie	konecki
Koprzywnica	50.5932	21.5846	świętokrzyskie	sandomierski
Korfantów	50.4881	17.5955	opolskie	nyski
Koronowo	53.3101	17.9422	kujawsko-pomorskie	bydgoski
Korsze	54.1723	21.1407	warmińsko-mazurskie	kętrzyński
Kosów Lacki	52.5959	22.1471	mazowieckie	sokołowski
Kostrzyn	52.3973	17.2255	wielkopolskie	poznański
Kostrzyn nad Odrą	52.5899	14.6475	lubuskie	gorzowski
Koszalin	54.1902	16.1819	zachodniopomorskie	Koszalin
Koszyce	50.1685	20.5777	małopolskie	proszowicki
Kościan	52.0859	16.6442	wielkopolskie	kościański
Kościerzyna	54.1211	17.9775	pomorskie	kościerski
Kowal	52.5305	19.1487	kujawsko-pomorskie	włocławski
Kowalewo Pomorskie	53.1547	18.8982	kujawsko-pomorskie	golubsko-dobrzyński
Kowary	50.7924	15.8365	dolnośląskie	karkonoski
Koziegłowy	50.5999	19.1630	śląskie	myszkowski
Kozienice	51.5850	21.5494	mazowieckie	kozienicki
Koźmin Wielkopolski	51.8272	17.4529	wielkopolskie	krotoszyński
Koźminek	51.7996	18.3354	wielkopolskie	kaliski
Kożuchów	51.7453	15.5944	lubuskie	nowosolski
Kórnik	52.2486	17.0897	wielkopolskie	poznański
Krajenka	53.2971	16.9904	wielkopolskie	złotowski
Kraków	50.0618	19.9374	małopolskie	Kraków
Krapkowice	50.4746	17.9671	opolskie	krapkowicki
Krasnobród	50.5449	23.2113	lubelskie	zamojski
Krasnystaw	50.9815	23.1673	lubelskie	krasnostawski
Kraśnik	50.9217	22.2195	lubelskie	kraśnicki
Krobia	51.7742	16.9846	wielkopolskie	gostyński
Krosno	49.6920	21.7670	podkarpackie	Krosno
Krosno Odrzańskie	52.0522	15.0973	lubuskie	krośnieński
Krośniewice	52.2561	19.1707	łódzkie	kutnowski
Krotoszyn	51.6957	17.4376	wielkopolskie	krotoszyński
Kruszwica	52.6762	18.3230	kujawsko-pomorskie	inowrocławski
Krynica Morska	54.3800	19.4369	pomorskie	nowodworski
Krynica-Zdrój	49.4214	20.9597	małopolskie	nowosądecki
Krynki	53.2644	23.7744	podlaskie	sokólski
Krzanowice	50.0182	18.1254	śląskie	raciborski
Krzepice	50.9708	18.7283	śląskie	kłobucki
Krzeszowice	50.1351	19.6366	małopolskie	krakowski
Krzywiń	51.9617	16.8208	wielkopolskie	kościański
Krzyż Wielkopolski	52.8791	16.0136	wielkopolskie	czarnkowsko-trzcianecki
Książ Wielkopolski	52.0624	17.2392	wielkopolskie	śremski
Kudowa-Zdrój	50.4409	16.2406	dolnośląskie	kłodzki
Kunów	50.9547	21.2794	świętokrzyskie	ostrowiecki
Kutno	52.2342	19.3578	łódzkie	kutnowski
Kuźnia Raciborska	50.2000	18.3118	śląskie	raciborski
Kwidzyn	53.7358	18.9389	pomorskie	kwidzyński
Lądek-Zdrój	50.3425	16.8872	dolnośląskie	kłodzki
Legionowo	52.4033	20.9269	mazowieckie	legionowski
Legnica	51.2066	16.1628	dolnośląskie	Legnica
Lesko	49.4718	22.3285	podkarpackie	leski
Leszno	51.8433	16.5744	wielkopolskie	Leszno
Leśna	51.0238	15.2640	dolnośląskie	lubański
Leśnica	50.4287	18.1830	opolskie	strzelecki
Lewin Brzeski	50.7552	17.6161	opolskie	brzeski
Leżajsk	50.2630	22.4183	podkarpackie	leżajski
Lębork	54.5435	17.7499	pomorskie	lęborski
Lędziny	50.1303	19.1084	śląskie	bieruńsko-lędziński
Libiąż	50.1066	19.3298	małopolskie	chrzanowski
Lidzbark	53.2613	19.8222	warmińsko-mazurskie	działdowski
Lidzbark Warmiński	54.1259	20.5829	warmińsko-mazurskie	lidzbarski
Limanowa	49.7065	20.4227	małopolskie	limanowski
Lipiany	53.0029	14.9709	zachodniopomorskie	pyrzycki
Lipno	52.8458	19.1815	kujawsko-pomorskie	lipnowski
Lipsk	53.7337	23.4036	podlaskie	augustowski
Lipsko	51.1581	21.6492	mazowieckie	lipski
Lubaczów	50.1574	23.1224	podkarpackie	lubaczowski
Lubań	51.1200	15.2894	dolnośląskie	lubański
Lubartów	51.4577	22.6095	lubelskie	lubartowski
Lubawa	53.5035	19.7482	warmińsko-mazurskie	iławski
Lubawka	50.7068	15.9999	dolnośląskie	kamiennogórski
Lubień Kujawski	52.4053	19.1657	kujawsko-pomorskie	włocławski
Lubin	51.3986	16.2033	dolnośląskie	lubiński
Lublin	51.2479	22.5680	lubelskie	Lublin
Lubliniec	50.6688	18.6847	śląskie	lubliniecki
Lubniewice	52.5126	15.2448	lubuskie	sulęciński
Lubomierz	51.0128	15.5105	dolnośląskie	lwówecki
Luboń	52.3459	16.8777	wielkopolskie	poznański
Lubowidz	53.1202	19.8448	mazowieckie	żuromiński
Lubraniec	52.5439	18.8357	kujawsko-pomorskie	włocławski
Lubsko	51.7855	14.9685	lubuskie	żarski
Lubycza Królewska	50.3406	23.5207	lubelskie	tomaszowski
Lutomiersk	51.7542	19.2117	łódzkie	pabianicki
Lututów	51.3713	18.4342	łódzkie	wieruszowski
Lwówek	52.4480	16.1808	wielkopolskie	nowotomyski
Lwówek Śląski	51.1108	15.5850	dolnośląskie	lwówecki
Łabiszyn	52.9530	17.9190	kujawsko-pomorskie	żniński
Łagów	50.7750	21.0841	świętokrzyskie	kielecki
Łańcut	50.0657	22.2274	podkarpackie	łańcucki
Łapy	52.9894	22.8797	podlaskie	białostocki
Łasin	53.5186	19.0864	kujawsko-pomorskie	grudziądzki
Łask	51.5914	19.1336	łódzkie	łaski
Łaskarzew	51.7903	21.5931	mazowieckie	garwoliński
Łaszczów	50.5318	23.7157	lubelskie	tomaszowski
Łaziska Górne	50.1493	18.8402	śląskie	mikołowski
Łazy	50.4278	19.3934	śląskie	zawierciański
Łeba	54.7607	17.5566	pomorskie	lęborski
Łęczna	51.3048	22.8822	lubelskie	łęczyński
Łęczyca	52.0593	19.1984	łódzkie	łęczycki
Łęknica	51.5367	14.7426	lubuskie	żarski
Łobez	53.6394	15.6219	zachodniopomorskie	łobeski
Łobżenica	53.2603	17.2553	wielkopolskie	pilski
Łochów	52.5307	21.6816	mazowieckie	węgrowski
Łomianki	52.3336	20.8869	mazowieckie	warszawski zachodni
Łomża	53.1786	22.0756	podlaskie	Łomża
Łosice	52.2111	22.7177	mazowieckie	łosicki
Łowicz	52.1081	19.9460	łódzkie	łowicki
Łódź	51.7644	19.4631	łódzkie	Łódź
Łuków	51.9300	22.3807	lubelskie	łukowski
Maków Mazowiecki	52.8631	21.1017	mazowieckie	makowski
Maków Podhalański	49.7303	19.6764	małopolskie	suski
Malbork	54.0359	19.0285	pomorskie	malborski
Małogoszcz	50.8121	20.2642	świętokrzyskie	jędrzejowski
Małomice	51.5553	15.4486	lubuskie	żagański
Margonin	52.9734	17.0944	wielkopolskie	chodzieski
Marki	52.3375	21.1146	mazowieckie	wołomiński
Maszewo	53.4978	15.0596	zachodniopomorskie	goleniowski
